MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Filter Order,Filter Type,Frequency - Cutoff or Center,Grade,Number of Filters,Qualification,Series,Voltage - Supply
HMC891LP5E,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,137.54,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc891.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC891LP5E/5638428,,Band Pass,,,1,,,0V ~ 14V
HMC891LP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc891.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC891LP5ETR/4486102,,Band Pass,,,1,,,0V ~ 14V
HMC892ALP5E,Analog Devices Inc.,IC FILTER BAND PASS 32LFCSP,pmic-led-drivers,551,180.21,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC892ALP5E.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC892ALP5E/9658693,,Band Pass,3.45GHz ~ 6.25GHz,,1,,,0V ~ 14V
HMC892ALP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32LFCSP,pmic-led-drivers,0,133.37302,"32-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/HMC892ALP5E.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC892ALP5ETR/9658821,,Band Pass,3.45GHz ~ 6.25GHz,,1,,,0V ~ 14V
HMC892LP5E,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,137.54,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc892.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC892LP5E/5638429,,Band Pass,,,1,,,0V ~ 14V
HMC892LP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc892.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC892LP5ETR/4486104,,Band Pass,,,1,,,0V ~ 14V
HMC893LP5E,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,137.54,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc893.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC893LP5E/5638430,,Band Pass,,,1,,,0V ~ 14V
HMC893LP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc893.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC893LP5ETR/4967955,,Band Pass,,,1,,,0V ~ 14V
HMC894LP5E,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc894.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC894LP5E/3985160,,Band Pass,,,1,,,14V
HMC894LP5ETR,Analog Devices Inc.,IC FILTER BAND PASS 32SMT,pmic-led-drivers,0,0.0,32-VFQFN Exposed Pad,Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc894.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC894LP5ETR/5304393,,Band Pass,,,1,,,14V
