MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,"Coded, Keyed",Color,Contents,Features,For Use With/Related Products,Gender,Includes,Number of Positions,Series,Size,Stacking Direction,Style,Terminal Size,Terminal Type,Termination Style,Thread Size,Type
172132-5,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.25 3POS BLUE,optoisolators-transistor-photovoltaic-output,0,0.0,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172132-5/2307788,,Blue,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,3,250,,Multiple,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172133-1,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 4POS NAT,optoisolators-transistor-photovoltaic-output,4757,1.07,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172133-1/1131470,,Natural,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172133-2,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 4POS BLK,optoisolators-transistor-photovoltaic-output,2393,1.16,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172133-2/2307790,,Black,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172133-4,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 4POS GRN,optoisolators-transistor-photovoltaic-output,0,0.34627,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172133-4/2307792,,Green,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172133-5,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 4POS BLUE,optoisolators-transistor-photovoltaic-output,0,0.0,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172133-5/2307794,,Blue,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172133-9,TE Connectivity AMP Connectors,CONN MALE TAB HSG 0.25 4POS RED,optoisolators-transistor-photovoltaic-output,0,0.63962,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172133-9/2307798,,Red,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172134-1,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS NATURAL,optoisolators-transistor-photovoltaic-output,2765,0.86,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172134-1/2055444,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172134-2,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS BLACK,optoisolators-transistor-photovoltaic-output,2856,1.02,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172134-2/2307800,,Black,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172134-3,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS BROWN,optoisolators-transistor-photovoltaic-output,0,0.8026,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172134-3/2307802,,Brown,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172134-4,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS GREEN,optoisolators-transistor-photovoltaic-output,0,0.5757,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172134-4/2307804,,Green,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172134-5,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.25 4POS BLUE,optoisolators-transistor-photovoltaic-output,0,0.5757,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172134-5/2307806,,Blue,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172134-6,TE Connectivity AMP Connectors,CONN RCPT HOUSING 0.25 4POS GRAY,optoisolators-transistor-photovoltaic-output,0,0.5757,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172134-6/2307808,,Gray,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
172134-7,TE Connectivity AMP Connectors,CONN RCPT HSG 0.25 4POS YELLOW,optoisolators-transistor-photovoltaic-output,0,0.49894,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/172134-7/2307810,,Yellow,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,250,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
