MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
MC100EP16VAMNR4G,onsemi,IC DIFFERENTIAL RX/DVR 8-DFN,clock-timing-programmable-timers-oscillators,0,4.93,8-VFDFN Exposed Pad,Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc10ep16-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VAMNR4G/1792255,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VBD,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,2.49,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100ep16vb-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VBD/662313,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VBDG,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,4.93,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100ep16vb-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VBDG/920677,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VBDT,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,5833,2.49,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.onsemi.com/pdf/datasheet/mc100ep16vb-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VBDT/11548190,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VBDTG,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,3.91,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VBDTG/920678,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VBDTR2G,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,0.0,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100ep16vb-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VBDTR2G/1477567,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VCD,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,4.24286,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100ep16vc-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VCD/662162,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VCDG,onsemi,BBG ECL DIFF RCVR W/HI/LO,clock-timing-programmable-timers-oscillators,67795,4.94,-,-,Obsolete,,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VCDG/12595132,,,,,,*,
MC100EP16VCDR2G,onsemi,IC DIFFERENTIAL RX/DVR 8-SOIC,clock-timing-programmable-timers-oscillators,0,4.93,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100ep16vc-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VCDR2G/1477569,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
MC100EP16VCDT,onsemi,IC DIFFERENT RX/DRVR 8-TSSOP,clock-timing-programmable-timers-oscillators,0,4.2327,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.onsemi.com/pdf/datasheet/mc100ep16vc-d.pdf,https://www.digikey.com/en/products/detail/onsemi/MC100EP16VCDT/662310,,Differential Receiver/Driver,,-40°C ~ 85°C,,100EP,3V ~ 5.5V
