MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,"Current - Output High, Low",Grade,Logic Type,Number of Circuits,Number of Inputs,Operating Temperature,Output Type,Qualification,Schmitt Trigger Input,Series,Type,Voltage - Supply
CD4068BPWR,Texas Instruments,IC NAND/AND GATE 1-CIR 14TSSOP,interface-drivers-receivers-transceivers,3739,0.67,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4068BPWR/1691285,,"6.8mA, 6.8mA",,NAND/AND Gate,1,8,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
CD4078BE,Texas Instruments,IC NOR/OR GATE 1-CIR 14-PDIP,interface-drivers-receivers-transceivers,1169,1.14,"14-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4078BE/376619,,"6.8mA, 6.8mA",,NOR/OR Gate,1,8,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
CD4078BM96,Texas Instruments,IC NOR/OR GATE 1-CIR 8-IN 14SOIC,interface-drivers-receivers-transceivers,3260,0.53,"14-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4078BM96/1691378,,"6.8mA, 6.8mA",,NOR/OR Gate,1,8,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
CD4078BPWR,Texas Instruments,IC NOR/OR GATE 1-CIR 14-TSSOP,interface-drivers-receivers-transceivers,6230,0.66,"14-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4078BPWR/1691386,,"6.8mA, 6.8mA",,NOR/OR Gate,1,8,-55°C ~ 125°C,Single-Ended,,No,4000B,,3V ~ 18V
CD4572UBE,Texas Instruments,IC NOR/NAND/INVERT GATE 16-PDIP,interface-drivers-receivers-transceivers,1133,2.64,"16-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/texas-instruments/CD4572UBE/528391,,"6.8mA, 6.8mA",,NOR/NAND/INVERT Gate,6,"8 Input (1, 1, 2, 2, 1, 1)",-55°C ~ 125°C,Differential,,No,4000B,,3V ~ 18V
HMC722LP3E,Analog Devices Inc.,IC AND/NAND/NOR/OR GATE 16QFN,interface-drivers-receivers-transceivers,80,128.02,16-VFQFN Exposed Pad,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc722lp3.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC722LP3E/5604284,,,,AND/NAND/NOR/OR GATE,1,4,-40°C ~ 85°C,"Differential, Single-Ended",,No,,,-3V ~ -3.6V
HMC746LC3C,Analog Devices Inc.,IC AND/NAND/NOR/OR GATE 16SMT,interface-drivers-receivers-transceivers,25,222.37,16-LFQFN Exposed Pad,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc746.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/HMC746LC3C/4476150,,,,AND/NAND/NOR/OR GATE,1,4,-40°C ~ 85°C,"Differential, Single-Ended",,No,,,3V ~ 3.6V
INA134UA/2K5,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,4827,3.45,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/texas-instruments/INA134UA-2K5/301013,Audio,,,,,,,,,,,Differential Receiver,
INA137UA/2K5,Texas Instruments,IC AMP SPECIAL 8-SOIC,interface-controllers,5208,3.12,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://rocelec.widen.net/view/pdf/4ze7iwujsn/ina137.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/texas-instruments/INA137UA-2K5/301014,Audio,,,,,,,,,,,Receiver,
LT3469ETS8#TRMPBF,Analog Devices Inc.,IC AMP SPECIAL TSOT-23-8,interface-controllers,855,6.3,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/3469f.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/LT3469ETS8-TRMPBF/962355,"Piezo Speakers, Microactuators",,,,,,,,,,,Transconductance,
